date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,feature_model,foundation_model
2016-05-13 19:00:00,208.33333333333334,97.46163394267658,348.3333333333333,123.33333333333333,126.66666666666667,348.432667343944,203.86151818940644,206.18614,123.33333333333333
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666667,348.53200135455467,179.7918709874736,189.31645,100.0
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,127.71859121034667,143.96814,71.66666666666667
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,100.8135858683046,75.28912,60.0
2016-05-13 23:00:00,61.666666666666664,97.46163394267658,348.3333333333333,56.666666666666664,58.333333333333336,348.8300033863867,85.10399528258151,64.65825,56.666666666666664
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.666666666666664,348.92933739699737,74.55477547061075,65.526566,55.0
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.666666666666664,349.02867140760804,68.33504204420188,64.03458,53.333333333333336
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,63.60325694137411,60.5013,58.333333333333336
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,60.54820095861021,63.294437,58.333333333333336
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,60.52094953722978,67.90565,50.0
2016-05-14 05:00:00,56.666666666666664,97.46163394267658,348.3333333333333,58.333333333333336,51.666666666666664,349.4260074500508,68.54123934514242,67.886696,58.333333333333336
2016-05-14 06:00:00,63.333333333333336,97.46163394267658,348.3333333333333,146.66666666666666,53.333333333333336,349.5253414606615,79.29770245299541,92.74731,146.66666666666666
2016-05-14 07:00:00,113.33333333333333,97.46163394267658,348.3333333333333,176.66666666666666,148.33333333333334,349.62467547127216,106.21076180475949,119.90168,176.66666666666666
2016-05-14 08:00:00,133.33333333333334,97.46163394267658,348.3333333333333,338.3333333333333,121.66666666666667,349.72400948188283,124.50841402646745,156.51773,338.3333333333333
2016-05-14 09:00:00,118.33333333333333,97.46163394267658,348.3333333333333,93.33333333333333,153.33333333333334,349.8233434924935,108.48338596187241,138.368,93.33333333333333
2016-05-14 10:00:00,158.33333333333334,97.46163394267658,348.3333333333333,73.33333333333333,178.33333333333334,349.9226775031042,115.60693164138692,157.85797,73.33333333333333
2016-05-14 11:00:00,96.66666666666667,97.46163394267658,348.3333333333333,355.0,161.66666666666666,350.02201151371486,126.05776297954571,165.28452,355.0
